,subject,replies,views,comment,date,user,activity,merit
649,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: king_of_1 on May 30, 2022, 12:36:19 PMQuote from: Pathibulaire on May 27, 2022, 12:57:48 PMHi I have been interested in the puzzle for several months and after months of scanning and learning I found a site that seems to have scanned all the range' in #64 puzzle's keyspace (from 2^63 till 2^64-1 decimal, 0x8000 0000 0000 0000 - 0xFFFF FFFF FFFF FFFF) and he find nothing.https://hashkeys.club/64/.How is possible? Sorry for google translate. Can someone explain to me!  As I told before, this puzzle is not true. don't waste your time and money..there is someone that wants us to be buzzy with something that doesn't exist.that is my conclusion.  The puzzle is not true EVEN though people have found keys within the puzzle?! Every key from 1 to 63 bits has been found and every key that is a multiple of 5 has been found, up to 115 bits...but yeah, it's not true.Where do you people come from and/or where do you get your information from that helps you draw conclusions?!","May 30, 2022, 05:01:22 PM",WanderingPhilospher,1022,217
650,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: WanderingPhilospher on May 30, 2022, 05:01:22 PMQuote from: king_of_1 on May 30, 2022, 12:36:19 PMQuote from: Pathibulaire on May 27, 2022, 12:57:48 PMHi I have been interested in the puzzle for several months and after months of scanning and learning I found a site that seems to have scanned all the range' in #64 puzzle's keyspace (from 2^63 till 2^64-1 decimal, 0x8000 0000 0000 0000 - 0xFFFF FFFF FFFF FFFF) and he find nothing.https://hashkeys.club/64/.How is possible? Sorry for google translate. Can someone explain to me!  As I told before, this puzzle is not true. don't waste your time and money..there is someone that wants us to be buzzy with something that doesn't exist.that is my conclusion.  The puzzle is not true EVEN though people have found keys within the puzzle?! Every key from 1 to 63 bits has been found and every key that is a multiple of 5 has been found, up to 115 bits...but yeah, it's not true.Where do you people come from and/or where do you get your information from that helps you draw conclusions?!I believe he meant the context of it being a puzzle specifically . It is a random distribution so far as we know only solvable via Kangaroo in some cases or brute force otherwise.","June 03, 2022, 05:12:08 AM",BorisTheHorist,22,3
651,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: BorisTheHorist on June 03, 2022, 05:12:08 AMQuote from: WanderingPhilospher on May 30, 2022, 05:01:22 PMQuote from: king_of_1 on May 30, 2022, 12:36:19 PMQuote from: Pathibulaire on May 27, 2022, 12:57:48 PMHi I have been interested in the puzzle for several months and after months of scanning and learning I found a site that seems to have scanned all the range' in #64 puzzle's keyspace (from 2^63 till 2^64-1 decimal, 0x8000 0000 0000 0000 - 0xFFFF FFFF FFFF FFFF) and he find nothing.https://hashkeys.club/64/.How is possible? Sorry for google translate. Can someone explain to me!  As I told before, this puzzle is not true. don't waste your time and money..there is someone that wants us to be buzzy with something that doesn't exist.that is my conclusion.  The puzzle is not true EVEN though people have found keys within the puzzle?! Every key from 1 to 63 bits has been found and every key that is a multiple of 5 has been found, up to 115 bits...but yeah, it's not true.Where do you people come from and/or where do you get your information from that helps you draw conclusions?!I believe he meant the context of it being a puzzle specifically . It is a random distribution so far as we know only solvable via Kangaroo in some cases or brute force otherwise.Nobody said it was a puzzle, it is a brute force challenge. That's the whole point of the transaction, to prove that Bitcoin is safe against brute force attacks.","June 04, 2022, 01:14:18 PM",itod,1974,1075
652,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,I only wonder if the creator is/was close to Satoshi?I think the creator is watching these forums. Maybe he likes to give a little background. Would be interesting.,"June 04, 2022, 02:31:16 PM",pikanakapika,7,1
653,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: king_of_1 on June 06, 2022, 03:03:53 AMQuote from: WanderingPhilospher on May 30, 2022, 05:01:22 PMQuote from: king_of_1 on May 30, 2022, 12:36:19 PMQuote from: Pathibulaire on May 27, 2022, 12:57:48 PMHi I have been interested in the puzzle for several months and after months of scanning and learning I found a site that seems to have scanned all the range' in #64 puzzle's keyspace (from 2^63 till 2^64-1 decimal, 0x8000 0000 0000 0000 - 0xFFFF FFFF FFFF FFFF) and he find nothing.https://hashkeys.club/64/.How is possible? Sorry for google translate. Can someone explain to me!  As I told before, this puzzle is not true. don't waste your time and money..there is someone that wants us to be buzzy with something that doesn't exist.that is my conclusion.  The puzzle is not true EVEN though people have found keys within the puzzle?! Every key from 1 to 63 bits has been found and every key that is a multiple of 5 has been found, up to 115 bits...but yeah, it's not true.Where do you people come from and/or where do you get your information from that helps you draw conclusions?!Sorry for disappointing you. I can understand your reaction and angry.. I said that is my conclusion. I may be right, or wrong..but do you what.. just continue searching this wrong private key. and you will regrit one day. this is only 16 keys. if you run your normal computer without any Gpu for one week searching random 16 keys, you supposed to find this damn pk..i told you bro. there is something wrong with this pk.Haha, you did not disappoint me. You say it is not true, yet many keys have already been found. Also, you cannot run a normal computer with CPU only and search the entire 64 bit range in only 7 days. This lets me know you really have no idea what you are talking about...sorry to disappoint you.If you know of a normal computer that can search roughly 2^61 keys a day, let me know...","June 06, 2022, 06:30:53 AM",WanderingPhilospher,1022,217
654,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"QuoteFirst , I didn't say you can search all 64  bit range in one week.if you go back to my topic you can see it.. I said search random keys.Secondly, you have to be smart enough to understand how your enemy play games.The keys you said they have found.. they were easy keys.To attract people like you..the other keys that are found like puzzle 65...they found...do you know what I mean 'they'I mean the group who made this puzzle.So in your mind you think one can search random keys, for 1 week, and should be able to find the key?! Random keys will be slower than sequential keys, and you could could search the same key multiple times. With doing a random search, you might get lucky within the first minute or it may take you 1 million years; there is no guarantee or any math that says you should be able to find the key within a week. Wow, so there were many people who made this puzzle?! Lol...you have no idea what you are saying. 65 was found because every 5th key has the public key exposed so search time is reduced using BSGS or Kangaroo, i.e. they are not being found via brute force/random searches.","June 06, 2022, 07:33:14 PM",WanderingPhilospher,1022,217
655,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"@king_of_1HelloUntil puzzle is solved it's always everyone think its impossible. I don't know if anyone notice or not, puzzle list below atlast have starting bit '0001'Code:1,9,17,25,33,41,49,57,65,73,81,89,97,105,113,121,129,137,145,153So far my understanding following puzzle list have '01' in hex starting.Also there is pattern in puzzle list below.Code:5,13,21,29,37,45,53,61,69,77,85,93,101,109,117,125,133,141,149,157expected to starting point from 0x10 in hex minimum can't be less then bit '0001 0000' ","June 07, 2022, 10:16:20 AM",stanner.austin,65,53
656,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: king_of_1 on June 07, 2022, 06:14:43 AMQuote from: WanderingPhilospher on June 06, 2022, 07:33:14 PMQuoteFirst , I didn't say you can search all 64  bit range in one week.if you go back to my topic you can see it.. I said search random keys.Secondly, you have to be smart enough to understand how your enemy play games.The keys you said they have found.. they were easy keys.To attract people like you..the other keys that are found like puzzle 65...they found...do you know what I mean 'they'I mean the group who made this puzzle.So in your mind you think one can search random keys, for 1 week, and should be able to find the key?! Random keys will be slower than sequential keys, and you could could search the same key multiple times. With doing a random search, you might get lucky within the first minute or it may take you 1 million years; there is no guarantee or any math that says you should be able to find the key within a week. Wow, so there were many people who made this puzzle?! Lol...you have no idea what you are saying. 65 was found because every 5th key has the public key exposed so search time is reduced using BSGS or Kangaroo, i.e. they are not being found via brute force/random searches.We don't need a lecture bro. These are fundamentals of cryptography. every body knows about that. It seems you are new in this market.Who told you when you search 64 bit range randomly you may repeat the same key several times.that is impossible unless you used very bad random program...if that possible why it doesn't repeat the key of puzzle 64...just use your mind.I am just trying to rise your awareness but you don't understand.Puzzle 65 and so on..I know they used the public key..but the question is who exposed the publickey, the creator. Who found, some guy called zeilar(I think, I am not sure). Zeilar is one of them. They doing all these just to give legal cover, so you think it is true.Ok, I forget something..Do you know how many computers are searching this puzzle?Millions of computers..If every computer searches randomly, believe me one of them must get the key.(if the puzzle is true).Lol...thanks for the good laughs, I needed it today!","June 07, 2022, 12:16:46 PM",WanderingPhilospher,1022,217
657,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,Hi! I am looking into this challenge and wondering.. Could be the address of some puzzles was generated from an uncompressed public key? from what I know you can't tell if the address is compressed or uncompressed by just looking at it.. or am overthinking it? :/,"June 10, 2022, 02:45:17 PM",cryptoDEADBEEFFFFF,24,4
658,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: cryptoDEADBEEFFFFF on June 10, 2022, 02:45:17 PMHi! I am looking into this challenge and wondering.. Could be the address of some puzzles was generated from an uncompressed public key? from what I know you can't tell if the address is compressed or uncompressed by just looking at it.. or am overthinking it? :/Overthinking it. If you read back through the history of this challenge, the creator stated they were compressed. And all keys found thus far have been found using compressed format.","June 10, 2022, 04:42:08 PM",WanderingPhilospher,1022,217
659,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: WanderingPhilospher on June 10, 2022, 04:42:08 PMQuote from: cryptoDEADBEEFFFFF on June 10, 2022, 02:45:17 PMHi! I am looking into this challenge and wondering.. Could be the address of some puzzles was generated from an uncompressed public key? from what I know you can't tell if the address is compressed or uncompressed by just looking at it.. or am overthinking it? :/Overthinking it. If you read back through the history of this challenge, the creator stated they were compressed. And all keys found thus far have been found using compressed format.well I hope so, but I don't remember that I have encountered a statement from the creator of this puzzle that explicitly says the addresses are compressed. I started to question it indeed when I see this challenge laying around for years with no progress.. a lot of questions arises.. maybe a lot of people are doubting it.. anyway, I will spend some time here... ","June 10, 2022, 10:06:27 PM",cryptoDEADBEEFFFFF,24,4
660,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: cryptoDEADBEEFFFFF on June 10, 2022, 10:06:27 PMQuote from: WanderingPhilospher on June 10, 2022, 04:42:08 PMQuote from: cryptoDEADBEEFFFFF on June 10, 2022, 02:45:17 PMHi! I am looking into this challenge and wondering.. Could be the address of some puzzles was generated from an uncompressed public key? from what I know you can't tell if the address is compressed or uncompressed by just looking at it.. or am overthinking it? :/Overthinking it. If you read back through the history of this challenge, the creator stated they were compressed. And all keys found thus far have been found using compressed format.well I hope so, but I don't remember that I have encountered a statement from the creator of this puzzle that explicitly says the addresses are compressed. I started to question it indeed when I see this challenge laying around for years with no progress.. a lot of questions arises.. maybe a lot of people are doubting it.. anyway, I will spend some time here... ....Take a look here  https://privatekeys.pw/puzzles/bitcoin-puzzle-txAnother interesting application, very configurable and very useful. It doesn't have the scanning speed but sometimes it's not the speed that's the most important, but the way it's done. https://github.com/Mizogg/Python-WebServerTest it here http://194.163.146.206:3333/ (speed limited.)Of course, you set up your own server.","June 11, 2022, 08:06:43 AMLast edit: June 15, 2022, 07:36:45 AM by Ovixx",Ovixx,20,0
661,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Alright, so, heads-up:I have tried extensively to create a machine learning model for this puzzle. No pattern exists. I'm basically categorically certain now. I have many3090s if anyone has any more suggestions that might be compute intensive but not brute-force.","July 03, 2022, 04:39:16 AM",cookiebro,7,1
662,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: pikanakapika on June 04, 2022, 02:31:16 PMI only wonder if the creator is/was close to Satoshi?I think the creator is watching these forums. Maybe he likes to give a little background. Would be interesting. if you are making a point make it very clear so that the people will understand exactly what you are talking about honey please you are directing your finger. Satoshi created this bitcoin forum because he needed his hand work to be more firm and popular. That is why I said you have two expantiate in your statement so that who is that is Reading you understand exactly what you are meaning, is and what you have in mind to make your own article.","July 03, 2022, 03:55:42 PM",minime0105,1246,534
663,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: cryptoDEADBEEFFFFF on June 10, 2022, 10:06:27 PMQuote from: WanderingPhilospher on June 10, 2022, 04:42:08 PMQuote from: cryptoDEADBEEFFFFF on June 10, 2022, 02:45:17 PMHi! I am looking into this challenge and wondering.. Could be the address of some puzzles was generated from an uncompressed public key? from what I know you can't tell if the address is compressed or uncompressed by just looking at it.. or am overthinking it? :/Overthinking it. If you read back through the history of this challenge, the creator stated they were compressed. And all keys found thus far have been found using compressed format.well I hope so, but I don't remember that I have encountered a statement from the creator of this puzzle that explicitly says the addresses are compressed. I started to question it indeed when I see this challenge laying around for years with no progress.. a lot of questions arises.. maybe a lot of people are doubting it.. anyway, I will spend some time here... My recollection was it was a temp account and he basically stated the format was intended to be sort of a benchmark of what is possible to brute force.","July 11, 2022, 04:53:21 AM",BorisTheHorist,22,3
664,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Please stop using terms such as puzzle, patterns, artificial intelligence,etc ...This is now a challenge, it is no longer a puzzle ! The puzzle was solved when it was understood that the secret keys where random numbers of increasing sizes. In the near future, with quantum computers, we will be able to brute force more of these but the road ahead is still long.","July 13, 2022, 11:29:02 PM",racminer,242,17
665,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Just scrolled through threads with large view count and found this.Interesting, how long is this running already?","July 14, 2022, 05:53:53 AM",CryptKeeper,2044,1055
666,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,"Quote from: CryptKeeper on July 14, 2022, 05:53:53 AMJust scrolled through threads with large view count and found this.Interesting, how long is this running already?Since January 2015: Challenge transaction","July 15, 2022, 09:07:32 AM",itod,1974,1075
667,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,someday in the future will expose this puzzle is a scam or reallike solve puzzle #115when puzzle #120 transfers out will see what is key revealmaybe scam maybe not,"July 16, 2022, 01:26:56 PM",fxsniper,406,45
668,== Bitcoin challenge transaction: ~1000 BTC total bounty to solvers! ==UPDATED==,966,45795,Hello there all  Congratulations to the solver of the PrivKey #64  PrivKey Hex: 000000000000000000000000000000000000000000000000F7051F27B09112D4PrivKey WIF: KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qZ6FxoaD5r1kYegmtbaTPubkey: 03100611c54dfef604163b8358f7b7fac13ce478e02cb224ae16d45526b25d9d4dAddress: 16jY7qLJnxb7CHZyqBP8qca9d51gAjyXQN,"September 10, 2022, 02:58:11 AM",JDScreesh,37,10
